### Module positions - created on 2025-07-28 10:51
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 100.050mm, Pcb Width 160.053mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
R9            22k                 R_0805_2012Metric_Pad1.20x1.. 149.8204   -76.9510   149.8204   -75.9510     -9.0    top       SMD
R10           10k                 R_0805_2012Metric_Pad1.20x1.. 130.4238   -78.1510   130.4238   -77.1510     -9.0    top       SMD
R11           22k                 R_0805_2012Metric_Pad1.20x1.. 133.1190   -78.1510   133.1190   -77.1510     -9.0    top       SMD
R12           10k                 R_0805_2012Metric_Pad1.20x1.. 129.0315   -84.5510   128.0315   -84.5510      0.0    top       SMD
R13           10k                 R_0805_2012Metric_Pad1.20x1.. 122.5190   -78.1510   122.5190   -77.1510     -9.0    top       SMD
R14           22k                 R_0805_2012Metric_Pad1.20x1.. 125.2190   -78.1510   125.2190   -77.1510     -9.0    top       SMD
R15           10k                 R_0805_2012Metric_Pad1.20x1.. 121.2315   -84.3510   120.2315   -84.3510      0.0    top       SMD
R16           10k                 R_0805_2012Metric_Pad1.20x1.. 114.6190   -78.1385   114.6190   -77.1385     -9.0    top       SMD
R17           22k                 R_0805_2012Metric_Pad1.20x1.. 117.3190   -78.1385   117.3190   -77.1385     -9.0    top       SMD
R18           10k                 R_0805_2012Metric_Pad1.20x1.. 113.7315   -84.3510   112.7315   -84.3510      0.0    top       SMD
R19           10k                 R_0805_2012Metric_Pad1.20x1.. 117.3333   -95.7635   117.3333   -96.7635      9.0    top       SMD
R20           22k                 R_0805_2012Metric_Pad1.20x1.. 114.6381   -95.7635   114.6381   -96.7635      9.0    top       SMD
R21           10k                 R_0805_2012Metric_Pad1.20x1.. 113.5065   -89.3510   112.5065   -89.3510      0.0    top       SMD
R22           10k                 R_0805_2012Metric_Pad1.20x1.. 125.2428   -95.7635   125.2428   -96.7635      9.0    top       SMD
R23           22k                 R_0805_2012Metric_Pad1.20x1.. 122.5476   -95.7635   122.5476   -96.7635      9.0    top       SMD
R24           10k                 R_0805_2012Metric_Pad1.20x1.. 138.5190   -78.1510   138.5190   -77.1510     -9.0    top       SMD
R25           10k                 R_0805_2012Metric_Pad1.20x1.. 121.1065   -89.3510   120.1065   -89.3510      0.0    top       SMD
R26           22k                 R_0805_2012Metric_Pad1.20x1.. 141.2190   -78.1510   141.2190   -77.1510     -9.0    top       SMD
R27           10k                 R_0805_2012Metric_Pad1.20x1.. 137.1315   -84.5510   136.1315   -84.5510      0.0    top       SMD
R28           10k                 R_0805_2012Metric_Pad1.20x1.. 133.1381   -95.7635   133.1381   -96.7635      9.0    top       SMD
R29           22k                 R_0805_2012Metric_Pad1.20x1.. 130.4428   -95.7635   130.4428   -96.7635      9.0    top       SMD
R30           10k                 R_0805_2012Metric_Pad1.20x1.. 128.9065   -89.3510   127.9065   -89.3510      0.0    top       SMD
R31           10k                 R_0805_2012Metric_Pad1.20x1.. 141.2190   -95.7635   141.2190   -96.7635      9.0    top       SMD
R32           22k                 R_0805_2012Metric_Pad1.20x1.. 138.5238   -95.7635   138.5238   -96.7635      9.0    top       SMD
R33           10k                 R_0805_2012Metric_Pad1.20x1.. 137.0190   -89.3510   136.0190   -89.3510      0.0    top       SMD
